id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,year_found
241032,Stylish Queen Anne Apartment,956883,Maija,Queen Anne,47.63628904,-122.3710252,Entire home/apt,$85.00 ,1,207,1/2/2016,4.07,2,346,2016
953595,Bright & Airy Queen Anne Apartment,5177328,Andrea,Queen Anne,47.63912312,-122.3656665,Entire home/apt,$150.00 ,2,43,12/29/2015,1.48,6,291,2016
3308979,New Modern House-Amazing water view,16708587,Jill,Queen Anne,47.62972413,-122.3694832,Entire home/apt,$975.00 ,4,20,9/3/2015,1.15,2,220,2016
7421966,Queen Anne Chateau,9851441,Emily,Queen Anne,47.6384732,-122.3692791,Entire home/apt,$100.00 ,1,0,,,1,143,2016
278830,Charming craftsman 3 bdm house,1452570,Emily,Queen Anne,47.6329184,-122.3724706,Entire home/apt,$450.00 ,1,38,10/24/2015,0.89,1,365,2016
5956968,Private unit in a 1920s mansion,326758,Andrew,Queen Anne,47.63052548,-122.3661741,Private room,$120.00 ,1,17,9/28/2015,2.45,1,302,2016
1909058,Queen Anne Private Bed and Bath,2497928,Gary And Beth,Queen Anne,47.63660545,-122.3685191,Private room,$80.00 ,3,58,12/7/2015,2.46,1,346,2016
856550,Tiny Garden cabin on Queen Anne  ,4016632,Jean-Marc,Queen Anne,47.64016054,-122.375856,Private room,$60.00 ,2,173,1/1/2016,4.73,5,100,2016
4948745,Urban Charm || Downtown || Views,2166277,Aliza,Queen Anne,47.6324103,-122.3572161,Private room,$90.00 ,3,8,8/17/2015,1.22,1,341,2016
2493658,Airy + Bright Queen Anne Apartment,5177328,Andrea,Queen Anne,47.63749172,-122.3668886,Entire home/apt,$150.00 ,2,32,12/20/2015,1.55,6,324,2016
175576,Private Apartment - Queen Anne Hill,239585,Ray & Eileen,Queen Anne,47.63548171,-122.3584778,Entire home/apt,$95.00 ,3,181,11/25/2015,3.33,1,153,2016
4454295,Upper Queen Anne Craftsman House,4606439,Nadia,Queen Anne,47.63721408,-122.3600458,Entire home/apt,$99.00 ,3,8,12/16/2015,0.98,1,229,2016
3883392,Open Plan 2bdr/1bath in Queen Anne,19932967,Pat & Roberta,,47.63554551,-122.3731708,Entire home/apt,$245.00 ,3,13,10/2/2015,0.92,1,362,2016
